#------------------------------------------------------------#
# EXAMPLE DATA
# When loading with CSV.jl, provide the `comment="#"` option.
#
# System size                  L = 20:10:60
# Time between samples in MCS  tau = 10 
# Number of samples            N = 50_000
#------------------------------------------------------------#
L,T,e,e2,m,m2,m4,absem
60,2.0353535353535355,-6187.03168,3.829124608512e7,-0.8986555333333335,0.8078676929753087,0.6535621178246747,0.8986555333333335
20,2.04040404040404,-685.94184,471880.95648,-0.8967070999999999,0.8069564735000001,0.6590629152897874,0.8967154999999999
30,2.04040404040404,-1543.016,2.38395899264e6,-0.8963509777777777,0.8046816230123458,0.6512773041963921,0.8963509777777777
40,2.04040404040404,-2743.7344,7.5334572032e6,-0.8968568499999999,0.8050220588749999,0.6501506227103485,0.8968568499999999
50,2.04040404040404,-4287.34736,1.83897808768e7,-0.896947936,0.8049418243328001,0.6492778197648267,0.896947936
60,2.04040404040404,-6173.01448,3.81182468432e7,-0.8967332555555555,0.8044297964876543,0.6480576169965092,0.8967332555555555
20,2.0454545454545454,-684.18872,469495.62208,-0.8947375999999999,0.8033474800000002,0.6533585116095999,0.8947375999999999
30,2.0454545454545454,-1540.01224,2.37471788896e6,-0.8950673333333333,0.8024040012839506,0.6476104252280046,0.8950673333333333
40,2.0454545454545454,-2736.35968,7.493175824e6,-0.8943895499999999,0.8006575431874999,0.6432917303632387,0.8943895499999999
50,2.0454545454545454,-4276.32648,1.829556275808e7,-0.894610848,0.8007873064192002,0.6426986409788921,0.894610848
60,2.0454545454545454,-6157.54296,3.792766717088e7,-0.8945257666666667,0.8004960812777778,0.6418016582985963,0.8945257666666667
20,2.0505050505050506,-682.7248,467518.16832,-0.8928148999999997,0.8000756325,0.6484681791205125,0.8928148999999997
30,2.0505050505050506,-1535.77424,2.3617933504e6,-0.8924230222222223,0.7978122439506172,0.6406454260551395,0.8924230222222223
40,2.0505050505050506,-2730.36344,7.46048439584e6,-0.892717375,0.7976781802812501,0.6385584062672138,0.892717375
50,2.0505050505050506,-4265.62448,1.820428701312e7,-0.8924702560000001,0.7969718145408001,0.6366287339686231,0.8924702560000001
60,2.0505050505050506,-6143.20816,3.77515891264e7,-0.8927792333333334,0.7973779417592592,0.6368279058177129,0.8927792333333334
20,2.0555555555555554,-680.94264,465109.10112,-0.8905072,0.7961449810000001,0.642521853342625,0.8905072
30,2.0555555555555554,-1531.94944,2.35008781184e6,-0.8904852000000001,0.794345426271605,0.6351097545145206,0.8904852000000001
40,2.0555555555555554,-2723.80864,7.42484398464e6,-0.890504725,0.79377347734375,0.6324540604095193,0.890504725
50,2.0555555555555554,-4255.54104,1.81184468144e7,-0.890524432,0.7935214956928001,0.631190417846029,0.890524432
60,2.0555555555555554,-6127.1964,3.755550289696e7,-0.8901520111111112,0.7927289337345681,0.6295361753983083,0.8901520111111112
20,2.0606060606060606,-679.27352,462875.58368,0.5883994,0.7926002590000001,0.6371768918790249,0.8884364
30,2.0606060606060606,-1528.25352,2.33883197664e6,-0.888532088888889,0.7909012574814815,0.6297350510923443,0.888532088888889
